sheet,pair,metric,cohens_d,mean_i,mean_j,n_i,n_j,p_raw,p_sidak
TRAK isoform (mito),no TRAK vs TRAK1,diff_p1_n1,-0.025746112215582245,-24.900119872535264,-24.62643161323571,16,26,0.9615496305346678,0.9999431537852038
TRAK isoform (mito),no TRAK vs TRAK1,ratio_p1_n1,-0.2301943392161164,0.025029922754439597,0.03549183564417713,16,26,0.6454351056938981,0.9554254260450258
TRAK isoform (mito),no TRAK vs TRAK1,diff_p1_n2,-0.1102537708887255,-36.59397711479739,-35.11496779309147,16,26,0.8413338115882046,0.9960055851572868
TRAK isoform (mito),no TRAK vs TRAK1,ratio_p1_n2,-0.19310086625758702,0.017300406500822707,0.023175862813919233,16,26,0.691742110820079,0.9707084333330465
TRAK isoform (mito),no TRAK vs TRAK1,diff_p1_n3,-0.15911508943246486,-47.187479676300995,-44.794931441043325,16,26,0.7821499249105429,0.9896611283974447
TRAK isoform (mito),no TRAK vs TRAK1,ratio_p1_n3,-0.16240249552696437,0.013504875456522724,0.01729154055202746,16,26,0.7338936078895867,0.9811563113255162
TRAK isoform (mito),no TRAK vs TRAK1,diff_p1_n4,-0.2095735440942672,-56.49567123185493,-53.23748147300861,16,26,0.7254303610237791,0.9793006104382234
TRAK isoform (mito),no TRAK vs TRAK1,ratio_p1_n4,-0.1595849756552509,0.01112882630710059,0.014237357708051287,16,26,0.734598400829884,0.9813056398109599
TRAK isoform (mito),no TRAK vs TRAK1,diff_p1_n5,-0.23916777330832228,-64.55637919938147,-60.90427071905971,16,26,0.6886908420779274,0.9698299736054555
TRAK isoform (mito),no TRAK vs TRAK1,ratio_p1_n5,-0.16175530922824224,0.009567249499451003,0.012314753560013119,16,26,0.7273897070948537,0.979740592116546
TRAK isoform (mito),no TRAK vs TRAK1,diff_p2_n1,-0.05812541782242725,-24.327856327937532,-23.696118135320827,16,26,0.9133238783595593,0.9993488239617174
TRAK isoform (mito),no TRAK vs TRAK1,ratio_p2_n1,-0.3263102512312741,0.0520490175089426,0.08302861122004207,16,26,0.5208385084441571,0.889986565167322
