sheet,pair,metric,d,p
TRAK isoform (mito),no TRAK vs TRAK1,zsum_perinuclear_5um_pct,0.41764549882694885,0.6705388913039823
TRAK isoform (mito),no TRAK vs TRAK1,maxip_perinuclear_5um_pct,0.4710350258336998,0.4837855134632799
TRAK isoform (mito),no TRAK vs TRAK1,zsum_peripheral_5um_pct,-0.5490359402399589,0.33678964450933935
TRAK isoform (mito),no TRAK vs TRAK1,maxip_peripheral_5um_pct,-0.6470672835702407,0.1824969574597558
TRAK isoform (mito),no TRAK vs TRAK1,zsum_mean_dist_to_nucleus_um,-0.43167928834784963,0.5540529210648248
TRAK isoform (mito),no TRAK vs TRAK1,maxip_mean_dist_to_nucleus_um,-0.45287152432771,0.32038382103583185
TRAK isoform (mito),no TRAK vs TRAK1,zsum_y_gini,0.384619300679036,0.6942100603073054
TRAK isoform (mito),no TRAK vs TRAK1,maxip_y_gini,0.1809010180196239,0.8188484071564378
TRAK isoform (mito),no TRAK vs TRAK1,zsum_y_entropy,-0.37540797419011884,0.8051722893717574
TRAK isoform (mito),no TRAK vs TRAK1,maxip_y_entropy,-0.11356573729056059,0.9679288228954338
TRAK isoform (mito),no TRAK vs TRAK1,zsum_y_sd_um,-0.4693339683314217,0.41996373124852904
TRAK isoform (mito),no TRAK vs TRAK1,maxip_y_sd_um,-0.23651723806705263,0.7445056071361172
TRAK isoform (mito),no TRAK vs TRAK1,zsum_y_skew,-0.23748009816460103,0.8468976016777721
TRAK isoform (mito),no TRAK vs TRAK1,maxip_y_skew,-0.2582297261787823,0.7643512488001707
TRAK isoform (mito),no TRAK vs TRAK1,zsum_y_mean_um,0.25310488293559447,0.8051032385543742
TRAK isoform (mito),no TRAK vs TRAK1,maxip_y_mean_um,0.33361576237841073,0.6283314998443698
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_r_gini,0.3530360885609596,0.7588608901573217
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_r_gini,0.16267260535386946,0.8987454312753513
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_r_entropy,-0.34267955517551363,0.8457457980342227
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_r_entropy,-0.09558703032434986,0.985274607185568
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_r_ks_vs_uniform,0.5785504414673276,0.4265660705121953
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_r_ks_vs_uniform,0.5203590720506077,0.36189837353669674
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_r_sd_um,-0.4292317443972701,0.5564844524170351
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_r_sd_um,-0.22638897437730401,0.8377048042947478
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_r_skew,0.3021070238706815,0.7811880393706618
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_r_skew,0.42841001425916286,0.4442655169857912
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_r_mean_um,-0.32638050232182925,0.6940611565271898
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_r_mean_um,-0.4322978492840292,0.4538332850872133
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_r_q25_um,-0.2228250861738511,0.824355548066697
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_r_q25_um,-0.29126868981423065,0.5970266227936245
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_r_q50_um,-0.3563864338836596,0.701575236505299
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_r_q50_um,-0.5193702110257801,0.40099133027232126
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_r_q75_um,-0.4400145975712236,0.6330757335613426
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_r_q75_um,-0.650327789436132,0.22740978752045682
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_r_20_35um_frac_pct,0.10512315101871823,0.9947071973579739
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_r_20_35um_frac_pct,0.3597928032878973,0.7848587705450039
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_r_35_55um_frac_pct,-0.2627355163667504,0.8659688449269528
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_r_35_55um_frac_pct,-0.46386447531297675,0.44606407040378393
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_mt_apex_elongation,0.5504608004503619,0.41211279076389684
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_mt_apex_elongation,0.4931139455927465,0.319402094450116
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_mt_apex_lam_min_um2,-0.8178116999985384,0.09812014215907672
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_mt_apex_lam_min_um2,-0.8236238856346891,0.06619006854502663
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_frac_pct,0.4561938494903329,0.1328302982532662
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_frac_pct,0.21626880321051084,0.6513887894558603
TRAK isoform (mito),no TRAK vs TRAK2,zsum_perinuclear_5um_pct,-0.09634224089490578,0.9900913643390422
TRAK isoform (mito),no TRAK vs TRAK2,maxip_perinuclear_5um_pct,-0.3153586986506661,0.7006336884771212
TRAK isoform (mito),no TRAK vs TRAK2,zsum_peripheral_5um_pct,0.5930613730289512,0.754823269114582
TRAK isoform (mito),no TRAK vs TRAK2,maxip_peripheral_5um_pct,0.5412291547831356,0.6841798936210916
TRAK isoform (mito),no TRAK vs TRAK2,zsum_mean_dist_to_nucleus_um,0.10557305091631991,0.9880585262622659
TRAK isoform (mito),no TRAK vs TRAK2,maxip_mean_dist_to_nucleus_um,0.3410065998595254,0.653190368925791
TRAK isoform (mito),no TRAK vs TRAK2,zsum_y_gini,-0.9316432174468013,0.2100254043272669
TRAK isoform (mito),no TRAK vs TRAK2,maxip_y_gini,-1.3921857953499017,0.002804661711992784
