sheet,pair,metric,d,p
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_r_ks_vs_60merNoTRAK,0.490379271665941,0.5911000787823204
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_r_ks_vs_60merNoTRAK,0.658006478321261,0.2717447817616975
TRAK isoform (mito),no TRAK vs TRAK1,zsum_wedge_r_ks_vs_uniform,0.5785504414673263,0.42656607051219675
TRAK isoform (mito),no TRAK vs TRAK1,maxip_wedge_r_ks_vs_uniform,0.5203590720506077,0.36189837353669674
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_r_ks_vs_60merNoTRAK,-0.928993278022792,0.089546168484535
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_r_ks_vs_60merNoTRAK,-1.077137908243376,0.026431990508806735
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_r_ks_vs_uniform,-0.9090894247466795,0.13039588591567863
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_r_ks_vs_uniform,-0.9640946689744783,0.023801224783485897
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_r_ks_vs_60merNoTRAK,-1.5783619998516734,0.008059673186706529
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_r_ks_vs_60merNoTRAK,-1.7734273825512799,0.00107418672296955
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_r_ks_vs_uniform,-1.6077968112281738,0.00748130884346343
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_r_ks_vs_uniform,-1.48179345648338,0.0012951002838726966
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_r_ks_vs_60merNoTRAK,-0.2396847558205488,0.9299950125891606
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_r_ks_vs_60merNoTRAK,-0.06271133263682925,0.9979019697425061
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_r_ks_vs_uniform,-0.02013636964800606,0.9999599331534007
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_r_ks_vs_uniform,0.11452648642663553,0.9902589823069823
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_r_ks_vs_60merNoTRAK,-0.4103208859827083,0.8230168943916518
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_r_ks_vs_60merNoTRAK,-0.2953851106769706,0.8849596362145951
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_r_ks_vs_uniform,-0.1823986668315565,0.9746814279422819
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_r_ks_vs_uniform,-0.03441361017844632,0.9997640271480377
TRAK isoform (peroxisome),TRAK1 vs TRAK2,zsum_wedge_r_ks_vs_60merNoTRAK,-0.11004942915259988,0.9871245418032154
TRAK isoform (peroxisome),TRAK1 vs TRAK2,maxip_wedge_r_ks_vs_60merNoTRAK,-0.20213746241051603,0.9159501703844317
TRAK isoform (peroxisome),TRAK1 vs TRAK2,zsum_wedge_r_ks_vs_uniform,-0.15233902285494233,0.9722828233673798
TRAK isoform (peroxisome),TRAK1 vs TRAK2,maxip_wedge_r_ks_vs_uniform,-0.14576986313844723,0.9712130382182217
TRAK isoform (60mer),no TRAK vs TRAK1,zsum_wedge_r_ks_vs_60merNoTRAK,-1.5034848145499764,0.0025918959071155045
TRAK isoform (60mer),no TRAK vs TRAK1,maxip_wedge_r_ks_vs_60merNoTRAK,-2.257285423984875,0.000013691792341341547
TRAK isoform (60mer),no TRAK vs TRAK1,zsum_wedge_r_ks_vs_uniform,-0.3609323369428132,0.7307757496023106
TRAK isoform (60mer),no TRAK vs TRAK1,maxip_wedge_r_ks_vs_uniform,-0.04526705665618755,0.9991914569236685
TRAK isoform (60mer),no TRAK vs TRAK2,zsum_wedge_r_ks_vs_60merNoTRAK,-0.8717824135996228,0.0831607251778993
TRAK isoform (60mer),no TRAK vs TRAK2,maxip_wedge_r_ks_vs_60merNoTRAK,-1.6982784712059351,0.00003186286251843917
TRAK isoform (60mer),no TRAK vs TRAK2,zsum_wedge_r_ks_vs_uniform,-0.8959313279857468,0.03918189666716965
TRAK isoform (60mer),no TRAK vs TRAK2,maxip_wedge_r_ks_vs_uniform,-1.4236131209765057,0.0002566297832493625
TRAK isoform (60mer),TRAK1 vs TRAK2,zsum_wedge_r_ks_vs_60merNoTRAK,0.6737325767002071,0.1625390817898953
TRAK isoform (60mer),TRAK1 vs TRAK2,maxip_wedge_r_ks_vs_60merNoTRAK,0.29984635021554373,0.7711407247098564
TRAK isoform (60mer),TRAK1 vs TRAK2,zsum_wedge_r_ks_vs_uniform,-0.5130517518531332,0.3862305657722239
TRAK isoform (60mer),TRAK1 vs TRAK2,maxip_wedge_r_ks_vs_uniform,-1.3705469106114068,0.00047908287567166585
TRAK1 helix muts,T1 wt vs T1 mDRH,zsum_wedge_r_ks_vs_60merNoTRAK,-1.4678741220178786,0.003861155756971768
TRAK1 helix muts,T1 wt vs T1 mDRH,maxip_wedge_r_ks_vs_60merNoTRAK,-1.9309497769684716,0.001073316177873429
TRAK1 helix muts,T1 wt vs T1 mDRH,zsum_wedge_r_ks_vs_uniform,-1.660450412250589,0.0008706297654677009
