path,plate,well,sheet,condition
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell1-b.nd2,250521_patterned_plate_1,B06,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell1-b.nd2,250521_patterned_plate_1,B06,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell10.nd2,250521_patterned_plate_1,B06,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell10.nd2,250521_patterned_plate_1,B06,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell10_1.nd2,250521_patterned_plate_1,B06,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell10_1.nd2,250521_patterned_plate_1,B06,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell11-b.nd2,250521_patterned_plate_1,B06,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell11-b.nd2,250521_patterned_plate_1,B06,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell12.nd2,250521_patterned_plate_1,B06,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell12.nd2,250521_patterned_plate_1,B06,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell12_1.nd2,250521_patterned_plate_1,B06,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell12_1.nd2,250521_patterned_plate_1,B06,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell13.nd2,250521_patterned_plate_1,B06,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell13.nd2,250521_patterned_plate_1,B06,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell15.nd2,250521_patterned_plate_1,B06,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell15.nd2,250521_patterned_plate_1,B06,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell1_1.nd2,250521_patterned_plate_1,B06,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell1_1.nd2,250521_patterned_plate_1,B06,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell4.nd2,250521_patterned_plate_1,B06,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell4.nd2,250521_patterned_plate_1,B06,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell6.nd2,250521_patterned_plate_1,B06,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell6.nd2,250521_patterned_plate_1,B06,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell8.nd2,250521_patterned_plate_1,B06,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/B06_TRAK1_wt_combined/Cell8.nd2,250521_patterned_plate_1,B06,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/D07_250606_TRAK1-mDRH+dSpindly/cell2.nd2,250521_patterned_plate_1,D07,TRAK1 helix muts,T1 mDRH / dSp
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/D07_250606_TRAK1-mDRH+dSpindly/cell3.nd2,250521_patterned_plate_1,D07,TRAK1 helix muts,T1 mDRH / dSp
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/D07_250606_TRAK1-mDRH+dSpindly/cell5.nd2,250521_patterned_plate_1,D07,TRAK1 helix muts,T1 mDRH / dSp
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/D07_250606_TRAK1-mDRH+dSpindly/cell7.nd2,250521_patterned_plate_1,D07,TRAK1 helix muts,T1 mDRH / dSp
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/D07_250606_TRAK1-mDRH+dSpindly/cell8.nd2,250521_patterned_plate_1,D07,TRAK1 helix muts,T1 mDRH / dSp
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/E06_250606_TRAK1-mDRH/cell10.nd2,250521_patterned_plate_1,E06,TRAK1 helix muts,T1 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/E06_250606_TRAK1-mDRH/cell2.nd2,250521_patterned_plate_1,E06,TRAK1 helix muts,T1 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/E06_250606_TRAK1-mDRH/cell3.nd2,250521_patterned_plate_1,E06,TRAK1 helix muts,T1 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/E06_250606_TRAK1-mDRH/cell4.nd2,250521_patterned_plate_1,E06,TRAK1 helix muts,T1 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250521_patterned_plate_1/E06_250606_TRAK1-mDRH/cell6.nd2,250521_patterned_plate_1,E06,TRAK1 helix muts,T1 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell11.nd2,250606_patterned_plate_2,C02,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell11.nd2,250606_patterned_plate_2,C02,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell13.nd2,250606_patterned_plate_2,C02,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell13.nd2,250606_patterned_plate_2,C02,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell15.nd2,250606_patterned_plate_2,C02,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell15.nd2,250606_patterned_plate_2,C02,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell4.nd2,250606_patterned_plate_2,C02,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell4.nd2,250606_patterned_plate_2,C02,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell6.nd2,250606_patterned_plate_2,C02,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell6.nd2,250606_patterned_plate_2,C02,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell7.nd2,250606_patterned_plate_2,C02,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell7.nd2,250606_patterned_plate_2,C02,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell8.nd2,250606_patterned_plate_2,C02,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/C02_250609_TRAK2-wt/cell8.nd2,250606_patterned_plate_2,C02,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/D05_250612_TRAK2-mDRH+mSpin/Excluded_cells_2/cell1-incomplete umbrella.nd2,250606_patterned_plate_2,D05,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/D05_250612_TRAK2-mDRH+mSpin/cell1.nd2,250606_patterned_plate_2,D05,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/D05_250612_TRAK2-mDRH+mSpin/cell2_2.nd2,250606_patterned_plate_2,D05,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/D05_250612_TRAK2-mDRH+mSpin/Excluded_cells_2/cell3.nd2,250606_patterned_plate_2,D05,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/D05_250612_TRAK2-mDRH+mSpin/cell4.nd2,250606_patterned_plate_2,D05,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/D05_250612_TRAK2-mDRH+mSpin/cell4_2.nd2,250606_patterned_plate_2,D05,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/D05_250612_TRAK2-mDRH+mSpin/cell5.nd2,250606_patterned_plate_2,D05,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/D05_250612_TRAK2-mDRH+mSpin/cell5_2.nd2,250606_patterned_plate_2,D05,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/D05_250612_TRAK2-mDRH+mSpin/cell6.nd2,250606_patterned_plate_2,D05,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/E04_250612_TRAK2_mDRH/cell11.nd2,250606_patterned_plate_2,E04,TRAK2 helix muts,TRAK2 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/E04_250612_TRAK2_mDRH/cell2.nd2,250606_patterned_plate_2,E04,TRAK2 helix muts,TRAK2 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/E04_250612_TRAK2_mDRH/cell3.nd2,250606_patterned_plate_2,E04,TRAK2 helix muts,TRAK2 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/E04_250612_TRAK2_mDRH/cell4.nd2,250606_patterned_plate_2,E04,TRAK2 helix muts,TRAK2 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/E04_250612_TRAK2_mDRH/cell7.nd2,250606_patterned_plate_2,E04,TRAK2 helix muts,TRAK2 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/E04_250612_TRAK2_mDRH/cell8.nd2,250606_patterned_plate_2,E04,TRAK2 helix muts,TRAK2 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/E04_250612_TRAK2_mDRH/cell9.nd2,250606_patterned_plate_2,E04,TRAK2 helix muts,TRAK2 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B02_NoV_250616/cell1.nd2,250612_patterned_plate_3,B02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B02_NoV_250616/cell11.nd2,250612_patterned_plate_3,B02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B02_NoV_250616/cell12.nd2,250612_patterned_plate_3,B02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B02_NoV_250616/cell5.nd2,250612_patterned_plate_3,B02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B02_NoV_250616/cell6.nd2,250612_patterned_plate_3,B02,TRAK isoform (mito),no TRAK
