path,plate,well,sheet,condition
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/F06_TRAK1_peroxisome/Cell11.nd2,250606_patterned_plate_2,F06,TRAK isoform (peroxisome),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/F06_TRAK1_peroxisome/Cell12.nd2,250606_patterned_plate_2,F06,TRAK isoform (peroxisome),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/F06_TRAK1_peroxisome/Cell4.nd2,250606_patterned_plate_2,F06,TRAK isoform (peroxisome),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/F06_TRAK1_peroxisome/Cell5.nd2,250606_patterned_plate_2,F06,TRAK isoform (peroxisome),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/F06_TRAK1_peroxisome/Cell6.nd2,250606_patterned_plate_2,F06,TRAK isoform (peroxisome),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/F06_TRAK1_peroxisome/Cell7.nd2,250606_patterned_plate_2,F06,TRAK isoform (peroxisome),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/F06_TRAK1_peroxisome/Cell8.nd2,250606_patterned_plate_2,F06,TRAK isoform (peroxisome),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/F06_TRAK1_peroxisome/Cell9.nd2,250606_patterned_plate_2,F06,TRAK isoform (peroxisome),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/G06_TRAK2_peroxisome/Cell1.nd2,250606_patterned_plate_2,G06,TRAK isoform (peroxisome),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/G06_TRAK2_peroxisome/Cell11.nd2,250606_patterned_plate_2,G06,TRAK isoform (peroxisome),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/G06_TRAK2_peroxisome/Cell2.nd2,250606_patterned_plate_2,G06,TRAK isoform (peroxisome),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/G06_TRAK2_peroxisome/Cell3.nd2,250606_patterned_plate_2,G06,TRAK isoform (peroxisome),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/G06_TRAK2_peroxisome/Cell4.nd2,250606_patterned_plate_2,G06,TRAK isoform (peroxisome),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250606_patterned_plate_2/G06_TRAK2_peroxisome/Cell5.nd2,250606_patterned_plate_2,G06,TRAK isoform (peroxisome),TRAK2
