path,plate,well,sheet,condition
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E07_250625_203/cell10.nd2,250624_patterned_plate_6,E07,TRAK isoform (60mer),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E07_250625_203/cell12.nd2,250624_patterned_plate_6,E07,TRAK isoform (60mer),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E07_250625_203/cell3.nd2,250624_patterned_plate_6,E07,TRAK isoform (60mer),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E07_250625_203/cell4b.nd2,250624_patterned_plate_6,E07,TRAK isoform (60mer),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E07_250625_203/cell6.nd2,250624_patterned_plate_6,E07,TRAK isoform (60mer),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E07_250625_203/cell7.nd2,250624_patterned_plate_6,E07,TRAK isoform (60mer),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E07_250625_203/excluded_cells/cell1.nd2,250624_patterned_plate_6,E07,TRAK isoform (60mer),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E07_250625_203/excluded_cells/cell11.nd2,250624_patterned_plate_6,E07,TRAK isoform (60mer),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E07_250625_203/excluded_cells/cell2.nd2,250624_patterned_plate_6,E07,TRAK isoform (60mer),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E07_250625_203/excluded_cells/cell4.nd2,250624_patterned_plate_6,E07,TRAK isoform (60mer),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E07_250625_203/excluded_cells/cell5.nd2,250624_patterned_plate_6,E07,TRAK isoform (60mer),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E07_250625_203/excluded_cells/cell8.nd2,250624_patterned_plate_6,E07,TRAK isoform (60mer),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E07_250625_203/excluded_cells/cell9.nd2,250624_patterned_plate_6,E07,TRAK isoform (60mer),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell1.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell10.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell12.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell13.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell14.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell15.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell16.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell20.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell3.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell4.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell5.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell6.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell7.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E08_250625_205/Cell8.nd2,250624_patterned_plate_6,E08,TRAK isoform (60mer),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E09_250625_206/Cell1.nd2,250624_patterned_plate_6,E09,TRAK isoform (60mer),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E09_250625_206/Cell11.nd2,250624_patterned_plate_6,E09,TRAK isoform (60mer),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250624_patterned_plate_6/E09_250625_206/Cell15.nd2,250624_patterned_plate_6,E09,TRAK isoform (60mer),TRAK2
